id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
0,Classic 350,175000.0,2019,Individual,1st owner,350,,4,1,87.5,7.292,Royal Enfield
1,Dio,45000.0,2017,Individual,1st owner,5650,,6,2,941.667,78.472,Honda
2,Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,5,3,2400.0,200.0,Royal Enfield
3,Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,8,5,2875.0,239.583,Yamaha
4,SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000,,12,5,1750.0,145.833,Yamaha
5,CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,13,12,4615.385,384.615,Honda
6,CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,5,4,3400.0,283.333,Honda
7,Bullet 350 [2007-2011],180000.0,2008,Individual,2nd owner,39000,,15,8,2600.0,216.667,Royal Enfield
8,CBZ extreme,30000.0,2010,Individual,1st owner,32000,,13,7,2461.538,205.128,Hero Honda
9,Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,7,9,6000.0,500.0,Bajaj
10,FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,8,7,4000.0,333.333,Yamaha
11,Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,7,2,1428.571,119.048,Honda
12,Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,5,5,4235.6,352.967,Bajaj
13,YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,4,1,281.75,23.479,Yamaha
14,42,185000.0,2020,Individual,1st owner,1700,,3,1,566.667,47.222,Jawa
15,Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,11,11,5000.0,416.667,Suzuki
16,Glamour,25000.0,2006,Individual,1st owner,27000,,17,6,1588.235,132.353,Hero Honda
17,YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,13,9,3461.538,288.462,Yamaha
18,Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,5,5,4600.0,383.333,Royal Enfield
19,FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,5,8,7800.0,650.0,Yamaha
20,Passion Pro 110,15000.0,2008,Individual,1st owner,60000,,15,12,4000.0,333.333,Hero
21,Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,7,4,2492.857,207.738,Honda
22,Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,10,5,2069.6,172.467,Honda
23,Standard,180000.0,2019,Individual,1st owner,2000,,4,1,500.0,41.667,Jawa
